Card Set,Number,Player,Team,Seq.
AKA,22,Joe Montana,San Francisco 49ers,
AKA,23,Ben Roethlisberger,Pittsburgh Steelers,
AKA,24,Le'Veon Bell,Pittsburgh Steelers,
AKA,25,Lance Alworth,San Diego Chargers,
AKA,26,Red Grange,Chicago Bears,
AKA,27,Mitchell Trubisky,Chicago Bears,
AKA,28,John Ross III,Cincinnati Bengals,
AKA,29,Jabrill Peppers,Cleveland Browns,
AKA,30,Patrick Mahomes II,Kansas City Chiefs,
AKA Blue,1,Roger Staubach,Dallas Cowboys,149
AKA Blue,2,Jameis Winston,Tampa Bay Buccaneers,149
AKA Blue,3,Travis Kelce,Kansas City Chiefs,149
AKA Blue,4,Joe Namath,New York Jets,149
AKA Blue,5,Marshawn Lynch,Oakland Raiders,149
AKA Blue,6,Cam Newton,Carolina Panthers,149
AKA Blue,7,Randy White,Dallas Cowboys,149
AKA Blue,8,Ezekiel Elliott,Dallas Cowboys,149
AKA Blue,9,Terry Bradshaw,Pittsburgh Steelers,149
AKA Blue,10,Jerome Bettis,Pittsburgh Steelers,149
AKA Blue,11,Tyrann Mathieu,Arizona Cardinals,149
AKA Blue,12,Christian Okoye,Kansas City Chiefs,149
AKA Blue,13,Ed Reed,Baltimore Ravens,149
AKA Blue,14,Gale Sayers,Chicago Bears,149
AKA Blue,15,Tom Brady,New England Patriots,149
AKA Blue,16,Jerry Rice,San Francisco 49ers,149
AKA Blue,17,Walter Payton,Chicago Bears,149
AKA Blue,18,Deion Sanders,Dallas Cowboys,149
AKA Blue,19,Peyton Manning,Indianapolis Colts,149
AKA Blue,20,Rob Gronkowski,New England Patriots,149
AKA Blue,21,J.J. Watt,Houston Texans,149
AKA Blue,22,Joe Montana,San Francisco 49ers,149
AKA Blue,23,Ben Roethlisberger,Pittsburgh Steelers,149
AKA Blue,24,Le'Veon Bell,Pittsburgh Steelers,149
AKA Blue,25,Lance Alworth,San Diego Chargers,149
AKA Blue,26,Red Grange,Chicago Bears,149
AKA Blue,27,Mitchell Trubisky,Chicago Bears,149
AKA Blue,28,John Ross III,Cincinnati Bengals,149
AKA Blue,29,Jabrill Peppers,Cleveland Browns,149
AKA Blue,30,Patrick Mahomes II,Kansas City Chiefs,149
AKA Gold,1,Roger Staubach,Dallas Cowboys,10
AKA Gold,2,Jameis Winston,Tampa Bay Buccaneers,10
AKA Gold,3,Travis Kelce,Kansas City Chiefs,10
AKA Gold,4,Joe Namath,New York Jets,10
AKA Gold,5,Marshawn Lynch,Oakland Raiders,10
AKA Gold,6,Cam Newton,Carolina Panthers,10
AKA Gold,7,Randy White,Dallas Cowboys,10
AKA Gold,8,Ezekiel Elliott,Dallas Cowboys,10
AKA Gold,9,Terry Bradshaw,Pittsburgh Steelers,10
AKA Gold,10,Jerome Bettis,Pittsburgh Steelers,10
AKA Gold,11,Tyrann Mathieu,Arizona Cardinals,10
AKA Gold,12,Christian Okoye,Kansas City Chiefs,10
AKA Gold,13,Ed Reed,Baltimore Ravens,10
AKA Gold,14,Gale Sayers,Chicago Bears,10
