Card Set,Number,Player,Team
Rookie and Emerging Star Autographs,RESA-NS,Nick Senzel,Cincinnati Reds
Rookie and Emerging Star Autographs,RESA-NSO,Nick Solak,Texas Rangers
Rookie and Emerging Star Autographs,RESA-RA,Rogelio Armenteros,Houston Astros
Rookie and Emerging Star Autographs,RESA-RG,Robel Garcia,Chicago Cubs
Rookie and Emerging Star Autographs,RESA-SA,Shaun Anderson,San Francisco Giants
Rookie and Emerging Star Autographs,RESA-SB,Seth Brown,Oakland Athletics
Rookie and Emerging Star Autographs,RESA-SL,Shed Long,Seattle Mariners
Rookie and Emerging Star Autographs,RESA-SM,Sean Murphy,Oakland Athletics
Rookie and Emerging Star Autographs,RESA-SO,Shohei Ohtani,Los Angeles Angels
Rookie and Emerging Star Autographs,RESA-TA,Tyler Alexander,Detroit Tigers
Rookie and Emerging Star Autographs,RESA-TD,Travis Demeritte,Detroit Tigers
Rookie and Emerging Star Autographs,RESA-TE,Thairo Estrada,New York Yankees
Rookie and Emerging Star Autographs,RESA-TES,Tom Eshelman,Baltimore Orioles
Rookie and Emerging Star Autographs,RESA-TG,Trent Grisham,Milwaukee Brewers
Rookie and Emerging Star Autographs,RESA-TGO,Tony Gonsolin,Los Angeles Dodgers
Rookie and Emerging Star Autographs,RESA-TW,Taylor Ward,Los Angeles Angels
Rookie and Emerging Star Autographs,RESA-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays
Rookie and Emerging Star Autographs,RESA-VR,Victor Robles,Washington Nationals
Rookie and Emerging Star Autographs,RESA-WA,Willians Astudillo,Minnesota Twins
Rookie and Emerging Star Autographs,RESA-WS,Will Smith,Los Angeles Dodgers
Rookie and Emerging Star Autographs,RESA-YA,Yordan Alvarez,Houston Astros
Rookie and Emerging Star Autographs,RESA-YC,Yu Chang,Cleveland Indians
Rookie and Emerging Star Autographs,RESA-ZC,Zack Collins,Chicago White Sox
